wallet_address,chain,pnl_30d,realized_pnl_30d,unrealized_pnl_30d,win_rate,trade_count_30d,avg_trade_size_usd,tags,source
J5mjFwDBACftUYgFPCCa9bwjVs88MZU1U7MX7qFrZpDS,solana,1119117.64,1119117.64,0,0.8333,520,12038.07,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed,multi_source
qAkJ2SuveYDsN2ZaEPU5gWhF8gWZvsA2Pfizn3B9ZQ5,solana,1076872.11,1076872.11,0,0.9802,2041,1279.35,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed,multi_source
4PaPYsHHhaiahVWTFRbD8BRFxUugXhdwjdp4TPkFR5r1,solana,915394.74,915394.74,0,0.9972,1977,1372.81,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed|winrate_provider_artifact,multi_source
8HS71C4LnwXxip3fSds26uZnzeQywUWpAiKH13Ky2Xn3,solana,737142.47,737142.47,0,0.9716,1155,1586.64,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed,multi_source
9H9HU7RsFnovQ9jPXo4Er9EPCdNQaHEtey8f6CpAC4AZ,solana,723730.59,723730.59,0,0.6667,52,28602.68,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed,multi_source
6VXhgjzjwkijkPfq7gTrFrwbgZ3BTMw7ytay4nw4k1jK,solana,712461.33,712461.33,0,0.5095,4911,376.93,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed,multi_source
GMzKSvuMorte3udGBtwzPRKbBgsezv69YJA2XmHXofu6,solana,709269.4,709269.4,0,1,686,4216.73,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed|winrate_provider_artifact,multi_source
3cJ3hZcKFoFRHarqHJqDoPbF7kusMtcwbTtfMGB4GURd,solana,702961.87,702961.87,0,1,1841,555.33,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed|winrate_provider_artifact,multi_source
CU2aap7uEx7ED2ptbRYAwLyn8jeYyW5JHYjVtFqFvEDi,solana,683621.74,683621.74,0,1,886,4260.97,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed|winrate_provider_artifact,multi_source
A5ptjqiLeV2jTYoSk7W6owY3tjSt7z78ZvbP5Ldd4hkp,solana,656868.9,656868.9,0,0.9903,1396,903.97,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed|winrate_provider_artifact,multi_source
GeBJSHK4WsGrz2HRvTbqvWGx4JRMpHfJG2ikzrYBDuwR,solana,644254.36,644254.36,0,0.9128,2465,575.07,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed,multi_source
3inTyfqCpLwa4U812GmB3FPcGz6iFWxHbaNpw5dPrTg2,solana,642999.21,642999.21,0,0.5263,838,2328.26,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed,multi_source
4ttdRTNqKoVRsfhG1PnrW87Z65SKus76corcrgJkxv2X,solana,601772.14,601772.14,0,0.75,444,3990.51,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed,multi_source
7Frq1DiCU7ypzPEGnZLgB8M2G9er7k5wDZnf8VUohBd1,solana,590500.37,590500.37,0,0.9779,3174,429.63,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed,multi_source
B9e6iEAgsHg9yaP6UwA33PaqEfdc3SYn85SmSPmQ6csN,solana,574296.98,574296.98,0,1,448,4042.06,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed|winrate_provider_artifact,multi_source
4gqYK5wRhbJvFVXTNTYUPxxi4CVybCHzCq6eqa48kfHe,solana,526074.72,526074.72,0,0.9091,1306,719.54,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed,multi_source
kCmZEAomWGZU1DH8Y255sHa1xDptpck17jde9dycjS9,solana,487941.65,487941.65,0,1,574,2233.63,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed|winrate_provider_artifact,multi_source
Hk3YBp51HV2x4NUAokF7voNPxnjDgUvPEa4HfEPj2uDY,solana,484174.39,484174.39,0,0.9778,1337,760.64,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed,multi_source
53mXoBuWXv9NahogwpK3psArrPRPRkgiciYMjGRfgSfX,solana,416391.34,416391.34,0,0.8333,2145,321.19,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed,multi_source
4mwKkhUDXRRUgz8DpduhzULgJSWARATACmRTXRZJwydV,solana,415590.33,415590.33,0,1,703,869.42,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed|winrate_provider_artifact,multi_source
5kbuhpuCSxEMMULPtwWdefm2NExGFXLbgWpirUuz1kUG,solana,397380.71,397380.71,0,1,345,3088.39,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed|winrate_provider_artifact,multi_source
HU3SkjiHpeNMvRgiYEbfFTWXHwq5CMKn1HCgu4MkkGhE,solana,393583.04,393583.04,0,0.9714,1420,1672.61,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed,multi_source
9krn16wHQNwXGmQGjn46kfoQMrzxiuBKjVwkaYkEnymA,solana,391279.03,391279.03,0,0.5,369,3989.13,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed,multi_source
DFfkvpLgid6Vaa4TyR6t9WWWsc2qCSod9iPGZSqcmYjm,solana,381556.18,381556.18,0,1,1347,422.1,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed|winrate_provider_artifact,multi_source
9ZoW1XouvQdyftApC7jE7hXXsMnJ4h9nptBVcULEf7dQ,solana,377889.25,377889.25,0,0.5455,337,4131.4,provider_claimed|operator_pending_review|solana_tracker|birdeye|cross_source_confirmed,multi_source
