wallet_address,chain,pnl_30d,realized_pnl_30d,unrealized_pnl_30d,win_rate,trade_count_30d,avg_trade_size_usd,tags,source
WBWj4tPDLENnWZBsz4f7mF7FeHqwrWFn6vewU,SOLANA,18500,14200,4300,0.62,24,780,smart_money|nova-buyer,csv
xT97ABzuD9fCj7vtWVaCBJZ7U4ELk6ZkhzL,SOLANA,21400,16800,4600,0.58,31,610,smart_money|nova-buyer,csv
3EVvXm51VPEY3zAVN8Jvs8XLhEFWN8iJZCZW8Qa5F4,SOLANA,9800,7200,2600,0.44,18,540,human_like|nova-buyer,csv
nfzknd6m5Zyf4R2P4nJCGAMLGL1fXKTX7NYsw25,SOLANA,27600,21900,5700,0.66,29,920,smart_money|nova-buyer,csv
3W1v9RUTFMRu6rJmgzNR6mbAycPcx3YaBW1bDn,SOLANA,13200,9800,3400,0.51,22,610,human_like|nova-buyer,csv
jTih2Zd8LtRF5VTybGvTBNjymaq3nqfjV9,SOLANA,32100,25400,6700,0.71,35,880,smart_money|nova-buyer,csv
RArc55HWiDWrhpHsU2LMYhNbGnaf2XSASmm2tJQzwP,SOLANA,16700,12500,4200,0.55,20,760,human_like|nova-buyer,csv
EbAm2QYMyeFbSBAyggq7dU4nyW84fQ5AVkbEd,SOLANA,24300,19100,5200,0.63,27,690,smart_money|nova-buyer,csv
eh9Sj2ueZNfNhFTAFHrfS8mqVVmNbxYW9r4xeZUsxeTK,SOLANA,11500,8600,2900,0.47,17,590,human_like|nova-buyer,csv
x25iNNx1TtKzu4wRgj51WZw19pGGhGE3675dY,SOLANA,38900,30600,8300,0.74,40,1050,smart_money|nova-buyer,csv
qMESFU6XwX3Rysee517RjUWGUjycJcZi82cmp9jZ,SOLANA,19600,15200,4400,0.59,25,720,smart_money|nova-buyer,csv
hJBQ2EMZp2jZ3mqQToJmjRrDKmynuFS93,SOLANA,8200,6100,2100,0.41,14,480,human_like|nova-buyer,csv
YLbMJTmGkjVaEQmdzMh48cKKK8rPoM36,SOLANA,26500,20800,5700,0.65,30,810,smart_money|nova-buyer,csv
Xc6m36jAL7CjUTs4ktgjcwXRRJWcp1PsfVLBP2RQdj,SOLANA,15300,11400,3900,0.53,21,650,human_like|nova-buyer,csv
bNexRuBdrfxsfxf3waKjNyiUFZPFQ96Ef,SOLANA,29800,23400,6400,0.68,33,940,smart_money|nova-buyer,csv
mcS1wkXDNQ2nWXwvWUaCLb4LMq5CPvsvbZp,SOLANA,12800,9500,3300,0.49,19,560,human_like|nova-buyer,csv
4Pd1Jy4cPq5tgDmKFYX9uiaWFE8Qer528EHB,SOLANA,34700,27300,7400,0.72,37,990,smart_money|nova-buyer,csv
JWrkdXaEu9MuDBzhM6gTPKnp7VzRTZy9cB5T11gBjSd,SOLANA,17900,13600,4300,0.57,23,700,smart_money|nova-buyer,csv
GmB9kg5Uq3DB4jVSbMxqopKvnyYzrLuDt189V,SOLANA,10400,7800,2600,0.45,16,510,human_like|nova-buyer,csv
fViMXrtQCnCtKSQyJagoRqVhHW9TDdXBGzzbWHa8SG,SOLANA,22700,17900,4800,0.61,26,770,smart_money|nova-buyer,csv
Tfqykusu135WU81NgqFxPbxL1xrUsiQpD984ftw,SOLANA,58900,47200,11700,0.79,52,2100,whale|smart_money|nova-whale,csv
